NFC Sensor Tag Measurement
2018/07/31 15:11:19

t	 Data
0.0	599
 0.015066666000166151	 597
 0.030154541000229074	 597
 0.045301915999516496	 601
 0.060141498999655596	 605
 0.07535945800009358	 605
 0.09078879099979531	 607
 0.10598120800023025	 611
 0.12087791599969933	 615
 0.13600462399972457	 615
 0.15162279099968146	 617
 0.16745837399957963	 617
 0.18406450000020413	 625
 0.1999788749999425	 627
 0.21578637399943545	 629
 0.23083595800017065	 627
 0.2458051659996272	 631
 0.26087566600017453	 635
 0.27661395799987076	 637
 0.291642457999842	 635
 0.30668395799966675	 639
 0.3217713329995604	 643
 0.33697995799957425	 645
 0.35234195799966983	 641
 0.3722387489997345	 645
 0.388311290999809	 649
 0.4045671249996303	 651
 0.42003004100024555	 655
 0.43534395799997583	 653
 0.45138549900002545	 653
 0.4678154989996983	 655
 0.4833837489995858	 659
 0.49993816599999263	 663
 0.5171460829997159	 667
 0.5352727909994428	 671
 0.5509707080000226	 715
 0.5671626659996036	 853
 0.5850442909995763	 943
 0.601589373999559	 881
 0.6184441240002343	 853
 0.6354767499997251	 891
 0.652222083000197	 911
 0.669248250000237	 881
 0.686074207999809	 865
 0.7025189159994625	 883
 0.7195118330000696	 871
 0.7360146239998357	 867
 0.7521660829997927	 821
 0.7687038750000283	 755
 0.7849838749998526	 715
 0.8011347080000633	 635
 0.8193282080001154	 525
 0.8354095830000006	 581
 0.8522138329999507	 549
 0.8699129159995209	 573
 0.8862618739995014	 577
 0.9031484990000536	 585
 0.9202802079998946	 589
 0.9370819579999079	 589
 0.9534012080002867	 591
 0.9707237909997275	 595
 0.9876999580001211	 599
 1.003859915999783	 603
 1.0202701250000246	 605
 1.0373727489995872	 607
 1.0542735409999295	 609
 1.0705956659994627	 613
 1.087159124000209	 617
 1.104158207999717	 625
 1.120875249999699	 625
 1.137112874000195	 627
 1.154130707999684	 627
 1.1712581659994612	 629
 1.1885758749995148	 633
 1.2055666659998678	 639
 1.2238253750001604	 641
 1.2406129159999182	 645
 1.2576260830001047	 645
 1.274807165999846	 647
 1.2913712909994501	 647
 1.307763666000028	 651
 1.324848958000075	 655
 1.341885457999524	 659
 1.358237165999526	 661
 1.3748682499999632	 659
 1.3918220409996138	 659
 1.4089206250000643	 663
 1.4254527909997705	 665
 1.441638915999647	 671
 1.4585727920002682	 669
 1.4758206249998693	 671
 1.4922286250002799	 669
 1.5109378750003088	 673
 1.5287534580002102	 675
 1.5460455410002396	 685
 1.5630554580002354	 763
 1.5801073329994324	 921
 1.5983181239998885	 943
 1.6154544579994763	 863
 1.632630416000211	 871
 1.650527916000101	 915
 1.671158082999682	 905
 1.6897853330001453	 873
 1.7073134579995894	 881
 1.725207208000029	 883
 1.7426559159994213	 867
 1.7603165829996215	 825
 1.7774520829998437	 765
 1.7944540829994367	 711
 1.8121842909995394	 617
 1.8310529999998835	 509
 1.8478555000001506	 595
 1.865464124999562	 575
 1.8829657500000394	 583
 1.9002919579997979	 587
 1.92101300000013	 589
 1.9397247500000958	 595
 1.9569230830002198	 597
 1.973296707999907	 597
 1.9903757499996573	 601
 2.006956999999602	 603
 2.0234368330002326	 611
 2.040949166000246	 613
 2.0579713329998413	 617
 2.074615124999582	 617
 2.091054915999848	 619
 2.107852790999459	 621
 2.1249797079999553	 627
 2.1413707909996447	 629
 2.1579756660003113	 633
 2.175607915999535	 631
 2.19284449999941	 633
 2.210458749999816	 637
 2.229998374999923	 641
 2.246499582999604	 645
 2.261617125000157	 647
 2.2766219160002947	 649
 2.2918101659997774	 643
 2.306587791000311	 651
 2.321510582999508	 655
 2.336316750000151	 655
 2.351771665999877	 653
 2.3672145000000455	 657
 2.3822977079998964	 659
 2.3976349579997986	 659
 2.4135611249994326	 659
 2.428845166999963	 661
 2.444903957999486	 665
 2.4602522499999395	 667
 2.4761796659995525	 667
 2.492114208000203	 667
 2.507948540999678	 669
 2.5233954160003123	 675
 2.5393167499996707	 677
 2.5560774999994464	 693
 2.572841457999857	 779
 2.5895249579998563	 933
 2.6065642080002362	 927
 2.623390582999491	 867
 2.6403040830000464	 875
 2.656464790999962	 909
 2.6732456660001844	 911
 2.690326707999702	 875
 2.7070656249998137	 873
 2.723624166999798	 893
 2.7407864580000023	 889
 2.757942665999508	 845
 2.775499542000034	 787
 2.791803541000263	 731
 2.8088690829999905	 667
 2.8262027499995384	 565
 2.8433274580002035	 539
 2.8602336670001023	 563
 2.87737237500005	 571
 2.8946704170002704	 575
 2.912545749999481	 581
 2.929026332999456	 587
 2.946203292000064	 593
 2.9633731249996345	 597
 2.9805329579994577	 601
 2.9970397079996474	 603
 3.014268582999648	 603
 3.0319319999998697	 605
 3.049791749999713	 607
 3.0662322919997678	 611
