NFC Sensor Tag Measurement
2018/07/31 15:06:35

t	 Data
0.0	597
 0.016192375000173342	 591
 0.032244416999674286	 597
 0.047492458000306215	 601
 0.0623867499998596	 601
 0.07893770900045638	 599
 0.09418929200001003	 603
 0.10925020900049276	 607
 0.1242459590002909	 609
 0.13983674999963114	 609
 0.15612241700000595	 609
 0.17237670800022897	 613
 0.1884093340004256	 617
 0.20402279199970508	 619
 0.2190850839997438	 619
 0.2356381669997063	 619
 0.2501668340000833	 625
 0.26521574999969744	 627
 0.28019583399964176	 633
 0.29562766700018983	 671
 0.3112687080001706	 805
 0.32709866700042767	 907
 0.3432498749998558	 861
 0.359473125000477	 809
 0.3749759170004836	 841
 0.39099337500010733	 873
 0.4072863330002292	 867
 0.4234327920003125	 833
 0.4400367919997734	 827
 0.4562549170004786	 845
 0.47236741699998674	 845
 0.4892630000003919	 815
 0.5061597080002684	 769
 0.5226537079997797	 715
 0.5390710000001491	 663
 0.5555022500002451	 551
 0.5716002500003015	 471
 0.5882239590000609	 563
 0.60511624999981	 547
 0.6221200830004818	 549
 0.6389149590004308	 549
 0.6575037080001493	 559
 0.6750108340002043	 559
 0.6924497079999128	 571
 0.7095387090002987	 577
 0.7259487920000538	 581
 0.7424445420001575	 585
 0.7587141249996421	 585
 0.7753889590003382	 587
 0.7918097920000946	 595
 0.8088643339997361	 601
 0.8262536250003905	 605
 0.8421448750004856	 609
 0.8588045420001436	 609
 0.8751887919997898	 611
 0.8912607089996527	 617
 0.9077457920002416	 623
 0.9247959169997557	 627
 0.9413165420000951	 629
 0.9573779579995971	 629
 0.9739690839996911	 631
 0.991141417000108	 639
 1.0072881249998318	 643
 1.0240530000000945	 645
 1.041086209000241	 645
 1.0574675830002889	 645
 1.074311958999715	 651
 1.0912543340000411	 655
 1.1072469170003387	 659
 1.1239936669999224	 661
 1.1406670839996877	 661
 1.1573095419998936	 661
 1.174066667000261	 665
 1.1903686249997918	 669
 1.207418250000046	 671
 1.2240041249997375	 673
 1.2409477920000427	 673
 1.2573492090004947	 673
 1.2747889170004782	 679
 1.2916182500002833	 693
 1.308441834000405	 769
 1.3253184590003002	 929
 1.3423393339999166	 945
 1.3595143339998685	 867
 1.3763711669998884	 873
 1.392446709000069	 915
 1.4096511249999821	 915
 1.4259344170004624	 893
 1.4426208340000812	 879
 1.4590527919999658	 887
 1.4758829170004901	 889
 1.4919962499998292	 867
 1.5088518760003353	 821
 1.5251691250005024	 767
 1.5420004170000539	 717
 1.5585517090003123	 621
 1.5754836670002987	 515
 1.5915885000003982	 607
 1.6081880419997105	 573
 1.6244834170001923	 585
 1.6420084589999533	 581
 1.6585206259996994	 585
 1.67502983400027	 593
 1.6927173340000081	 595
 1.709350459000234	 605
 1.7258983749998151	 609
 1.7424599169999055	 609
 1.7597198339999522	 611
 1.7761516669997945	 613
 1.7924590000002354	 617
 1.80858816700038	 623
 1.8253175420004482	 627
 1.8427597090003474	 625
 1.8601173750003	 629
 1.8765315419996114	 631
 1.8948520840003766	 631
 1.910816167000121	 639
 1.9273669169997447	 641
 1.9434541259997786	 645
 1.9600760840003204	 645
 1.9758697090001078	 643
 1.9927417500002775	 649
 2.0096930420004355	 653
 2.028420042000107	 657
 2.050193042000501	 659
 2.0667500839999775	 663
 2.0844980419997228	 663
 2.101443874999859	 663
 2.11854995900012	 663
 2.135246167000332	 665
 2.1521640840001055	 669
 2.169076916999984	 671
 2.1855954590000692	 673
 2.2023813340001652	 671
 2.2192889170000853	 673
 2.2362802090001423	 671
 2.252300125000147	 675
 2.2692225009996037	 681
 2.2862680420003016	 685
 2.3037513760000365	 715
 2.3205475419999857	 833
 2.3391925420000916	 953
 2.35908020900024	 891
 2.3766298749997077	 863
 2.3943541669996193	 899
 2.412266874999659	 921
 2.429851959000189	 881
 2.4471705839996503	 881
 2.4639267920001657	 881
 2.4811382090001644	 875
 2.498475917000178	 857
 2.5157331669997802	 801
 2.5335149590000583	 747
 2.55074495900044	 691
 2.567365126000368	 585
 2.584174126000107	 509
 2.602375251000012	 591
 2.619374042000345	 571
 2.636121251000077	 573
 2.6530226260001655	 577
 2.6693170010003087	 585
 2.686080542000127	 589
 2.703093125999658	 593
 2.720070334000411	 595
 2.736273667000205	 597
 2.753258917000494	 601
 2.770439959000214	 603
 2.7871892089997345	 609
 2.803701292000369	 609
 2.820683167000425	 611
 2.837973583999883	 613
 2.8556289589996595	 615
 2.8735853340003814	 617
 2.892366500999742	 623
 2.909377209000013	 629
 2.927129708999928	 631
 2.944015916999888	 633
 2.9633781259999523	 633
 2.98032429199975	 635
 2.997338541999852	 633
 3.013896041999942	 639
 3.0308075419998204	 641
 3.047386250999807	 645
 3.064444917000401	 647
 3.080817666999792	 647
 3.0978057510001236	 645
 3.1143889169998147	 649
 3.1313763759999347	 651
 3.147688375999678	 655
 3.164779376000297	 657
 3.1811972510004125	 655
 3.1985089589998097	 655
 3.21508704200005	 657
 3.2330905839999105	 659
 3.249854917000448	 663
 3.2669796259997383	 667
 3.283549667000443	 669
 3.301076458999887	 669
 3.317801041999701	 723
 3.336998916999619	 895
 3.3535499589997926	 937
 3.3707742509996024	 863
 3.3871993760003534	 861
 3.404470041999957	 895
 3.420932666999761	 905
 3.440086626000266	 869
 3.4597738339998614	 861
 3.4773927920005008	 873
 3.494481708999956	 873
 3.511282792000202	 835
 3.527846916999806	 789
 3.545268458999999	 729
 3.5616383759997916	 667
 3.5781044169998495	 557
 3.59461550099968	 511
 3.6110510839998824	 555
 3.6276202509998257	 559
 3.6442251260004923	 563
 3.660881875999621	 567
 3.6775361669997437	 575
 3.6944700009998996	 579
 3.712395251000089	 585
 3.7294229589997485	 591
 3.7463187920002383	 595
 3.765896709000117	 593
 3.784014042000308	 599
 3.8014168339996104	 601
 3.8188091259999055	 603
 3.8381307509998805	 605
 3.855535876000431	 607
 3.873845500999778	 613
 3.8908673759997328	 617
 3.9060381259996575	 619
 3.921932500999901	 621
 3.936802166999769	 619
 3.9515009599999757	 621
 3.9660960439996416	 627
 3.9809520440003325	 627
 3.996308544000385	 625
 4.01144962699982	 629
 4.0266785849999	 633
 4.043282585999805	 633
 4.059012626999902	 633
 4.074922044000232	 635
 4.090768293999645	 639
 4.1077113769997595	 643
 4.124366502000157	 645
 4.140403669000079	 643
 4.1573657099997945	 643
 4.173664502000065	 647
 4.190508835000401	 651
 4.208328669000366	 655
 4.225897835000069	 655
 4.242778376999922	 653
 4.260083668999869	 653
 4.276667209999687	 657
 4.294145711000056	 661
 4.3105340439997235	 679
 4.329006169000422	 759
 4.345285502000479	 925
 4.361739834999753	 915
 4.378613001999838	 853
 4.395440127000256	 863
 4.41145787700043	 891
 4.427577377000489	 905
 4.444126168999901	 873
 4.460968460000004	 857
 4.4771159190004255	 861
 4.494270877000417	 869
 4.512673209999775	 849
 4.529717835999691	 791
 4.546322209999744	 739
 4.562735460000113	 685
 4.579594294000344	 581
 4.598142044000269	 501
 4.614596086000347	 565
 4.630899877000047	 559
 4.647285127000032	 563
 4.663816668999971	 567
 4.680353626999931	 569
 4.696688834999804	 573
 4.713677335999819	 577
 4.730145086000448	 585
 4.746419502000208	 591
 4.765191168999991	 591
 4.781578709999849	 593
 4.79810558600002	 595
 4.814700711000114	 597
 4.831073627000478	 601
 4.847595543999887	 609
 4.864903751999918	 609
 4.881786668999666	 611
 4.898924377000185	 611
 4.915403752000202	 615
 4.93163587700019	 619
 4.948138001999723	 623
 4.9655210020000595	 627
 4.981763376999879	 627
 4.998406169000191	 627
 5.01491737699962	 629
 5.031853335000051	 635
 5.048364711000431	 639
 5.064838168999813	 639
 5.081112836000102	 637
 5.098235460999604	 639
 5.115056960999937	 641
 5.1313891689997035	 645
 5.147621709999839	 651
 5.164942919000168	 647
 5.181293669000297	 649
 5.197594293999828	 649
 5.2144158769997375	 651
 5.231622711000455	 655
 5.248036044000401	 657
 5.264497461000246	 659
 5.280875293999998	 661
 5.298486544000298	 661
 5.315100460999929	 665
 5.331826585999806	 731
 5.348649669000224	 889
 5.366223877000266	 941
 5.382839419000447	 861
 5.39986541899998	 851
 5.416527252000378	 889
 5.4341222519997245	 907
 5.4517075439998735	 869
 5.468571544000042	 865
 5.485581044000355	 875
 5.502356252000027	 867
 5.519944251999732	 843
 5.536836127000242	 781
 5.5536885439996695	 725
 5.570200293999733	 673
 5.586961126999995	 569
 5.6033998359998805	 507
 5.620395793999705	 571
 5.636802793999777	 561
 5.653352461000395	 565
 5.669813043999966	 571
 5.686570169000333	 575
 5.7032341280000765	 579
 5.719856044000153	 581
 5.736217044000114	 583
 5.753432043999965	 587
 5.770835919000092	 595
 5.787841086000299	 593
 5.804957751999609	 597
 5.821800961000008	 597
 5.838706753000224	 599
 5.855256085999827	 603
 5.872035377000429	 607
 5.888447336000354	 613
 5.904934293999759	 615
 5.921975293999822	 613
 5.939084378000189	 615
 5.9555292109998845	 619
 5.97163250199992	 623
 5.987825168999734	 631
 6.005125376999786	 629
 6.023306252999646	 631
 6.0405375020000065	 633
 6.05742525200003	 633
 6.074067044000003	 637
 6.094395627999802	 641
 6.1121474609999495	 645
 6.129773169000146	 649
 6.14676566900016	 653
 6.163782628000263	 651
 6.180391586000042	 651
 6.1976247940001485	 653
 6.214743628000178	 655
 6.231104211000456	 657
 6.247464877000311	 661
 6.2648640440002055	 659
 6.282094961000439	 661
 6.299196877999748	 663
 6.315861836000295	 667
 6.333595752999827	 713
 6.3508907940004065	 869
 6.369217503000073	 937
 6.386275669000497	 869
 6.403918918999807	 851
 6.422056794000127	 891
 6.439724419000413	 903
 6.456354169000406	 867
 6.473560710999664	 855
 6.4912053770003695	 871
 6.511620627000411	 867
 6.528683628000181	 841
 6.546794544000477	 777
 6.565721128000405	 733
 6.582679336000183	 647
 6.59962546099996	 533
 6.6166757110004255	 537
 6.633415502999924	 547
 6.65095866899992	 563
 6.667367752000246	 571
 6.684529127999667	 571
 6.701055544000155	 575
 6.7182395030004045	 577
 6.734869627999615	 581
 6.752041503000328	 587
 6.768578377999802	 591
 6.785871836000297	 595
 6.802262793999944	 597
 6.819637128000068	 597
 6.836740919000476	 601
 6.8539811689997805	 605
 6.871233711000059	 611
 6.888648836000357	 615
 6.906471002999751	 617
 6.923359419000008	 617
 6.939903127999969	 617
 6.956195503000345	 621
 6.973146293999889	 623
 6.989988794000055	 629
 7.006232753000404	 631
 7.022554086000127	 631
 7.039590418999978	 631
 7.056424336000418	 633
 7.072944835999806	 635
 7.089831002999745	 641
 7.10747512800026	 643
 7.124335669000175	 645
 7.141662377999637	 647
 7.160161503000381	 647
 7.1774220440001955	 647
 7.195606794000014	 651
 7.213043419000314	 653
 7.231879169000422	 657
 7.248506793999695	 659
 7.266651711000122	 661
 7.284995128000446	 661
 7.30200596099985	 663
 7.31835521100038	 665
 7.335496628000328	 695
 7.352007211000455	 811
 7.369456960999742	 939
 7.3862261690001105	 899
 7.4039518780000435	 849
 7.4209104609999486	 875
 7.438375253000231	 901
 7.456075711000267	 883
 7.473853336000502	 857
 7.490553085999636	 867
 7.507681377999688	 873
 7.5243287109997254	 861
 7.541436585999691	 809
 7.557961628000157	 749
 7.575480169000002	 711
 7.59251046099962	 613
 7.612051168999642	 497
 7.630777753000075	 587
 7.648310210999625	 565
 7.665510544000426	 569
 7.68169733600007	 567
 7.698400461000347	 571
 7.715211253000234	 575
 7.732412418999957	 583
 7.749243336000291	 585
 7.7657826280001245	 589
 7.782243628000288	 589
 7.799264627999946	 589
 7.816085378000025	 591
 7.832387002999894	 597
 7.849051211000187	 603
 7.865461418999985	 605
 7.882159753000451	 605
 7.899037836000389	 607
 7.9157182939998165	 609
 7.932175378000466	 615
 7.949342294000417	 621
 7.965637502999925	 623
 7.981819044000076	 623
 7.998305293999692	 623
 8.015578710999762	 625
 8.031820918999983	 629
 8.049018460999832	 633
 8.065491586000462	 637
 8.081753503000073	 633
 8.098155085999679	 637
 8.115637461000006	 639
 8.131891752999763	 643
 8.148803129000044	 647
 8.165246004000437	 647
 8.182478628999888	 647
 8.199167503999888	 647
 8.215715921000083	 649
 8.231938253999942	 653
 8.249247337999805	 657
 8.265703504000157	 657
 8.282400920999862	 659
 8.299063213000409	 657
 8.316283879000366	 659
 8.332797711999774	 673
 8.349941088000378	 737
 8.367510836999827	 897
 8.38691679600015	 917
 8.403859879000265	 847
 8.421445253999991	 867
 8.438105045999691	 897
 8.455160587999671	 899
 8.471975045999898	 857
 8.489609338000264	 861
 8.506393378999746	 871
 8.523612254	 871
 8.540511004000109	 839
 8.557540087000234	 781
 8.574219504000212	 737
 8.59055283700036	 675
 8.607037253999806	 575
 8.624152463000428	 499
 8.640721962000498	 571
 8.657094879000397	 559
 8.673767170999781	 565
 8.690894587000003	 571
 8.707277421000072	 577
 8.7238217539998	 577
 8.740703921000204	 577
 8.756928587000402	 581
 8.773519753999608	 585
 8.790718004000155	 589
 8.807766879000155	 595
 8.824227420999705	 595
 8.840724253999724	 595
 8.857692004000455	 599
 8.874981879000188	 605
 8.891226421000283	 609
 8.909037712999634	 613
 8.925954545999957	 615
 8.942809420999765	 615
 8.960080629000004	 617
 8.979981503999625	 619
 8.99798054599978	 623
 9.014822254000137	 627
 9.032270212000185	 631
 9.049080212999797	 635
 9.066610836999644	 637
 9.083322671000133	 637
 9.102184921000116	 641
 9.11935092099975	 639
 9.135692087999814	 641
 9.152667878999637	 645
 9.16922237899962	 649
 9.186376837999887	 651
 9.202612836999833	 651
 9.2198952130002	 649
 9.23616162899998	 653
 9.253221296000447	 655
 9.269605837999734	 657
 9.286735878999934	 659
 9.303037005000078	 659
 9.320296963000146	 661
 9.336420087999613	 663
 9.353513003999979	 707
 9.370268962999944	 853
 9.387489712000388	 951
 9.40420675400037	 877
 9.421667796000293	 841
 9.440176295999663	 883
 9.457470796000052	 909
 9.474638587999834	 865
 9.49193712899978	 855
 9.508495170999595	 871
 9.525830378999672	 871
 9.542288921000363	 845
 9.55987329599975	 793
 9.577441712000109	 727
 9.595643753999866	 673
 9.613164712999605	 565
 9.630262878999929	 501
 9.647863086999678	 573
 9.665129296000487	 565
 9.68253192100019	 565
 9.700335546000133	 571
 9.717989630000375	 573
 9.734988004000115	 581
 9.751915003999784	 587
 9.769191962999685	 591
 9.786198712999976	 593
 9.802713254000082	 595
 9.819911962999868	 593
 9.836890837999817	 599
 9.853994005000459	 603
 9.870412588000363	 607
 9.887404963000336	 613
 9.904545504000453	 613
 9.922444503999941	 615
 9.939069629999722	 615
 9.955729629000416	 617
 9.972104379000484	 623
 9.990322462999757	 627
 10.008246796000094	 629
 10.025493629000266	 631
 10.042562421000184	 631
 10.059705796000344	 631
 10.076581045999774	 633
 10.093062046000341	 639
 10.10956846299996	 641
 10.126590713000041	 643
 10.143637713000317	 643
 10.160916713000006	 641
 10.17712033800035	 645
 10.193636545999652	 647
 10.209675629999765	 653
 10.226819421000073	 655
 10.24353054600033	 653
 10.260870920999878	 653
 10.279510962999666	 653
 10.299068254999838	 655
 10.315598920999946	 661
 10.332575213000382	 665
 10.351408462999643	 685
 10.36822433799989	 789
 10.385178712999732	 929
 10.402587503999712	 905
 10.420059170999593	 841
 10.436723337999865	 871
 10.453676463000193	 903
 10.471044713000083	 895
 10.488392670999929	 865
 10.505070879999948	 863
 10.521619879000355	 865
 10.540477505000126	 867
 10.557744546000322	 813
 10.574726671000462	 759
 10.591844878999837	 721
 10.608400254999651	 639
 10.62515821299985	 527
 10.641514046000339	 555
 10.658594380000068	 543
 10.675172921000012	 561
 10.691756795999936	 569
 10.70989592099977	 575
 10.72675171300034	 581
 10.743059921000167	 585
 10.75949608799965	 585
 10.775945504999981	 589
 10.79225454599964	 593
 10.808985546000258	 595
 10.825422171000355	 595
 10.841643880000447	 597
 10.864836130000185	 599
 10.884286380000049	 605
 10.90070129600008	 607
 10.917442963000212	 609
 10.934136963000128	 613
 10.950641421	 617
 10.96738771299988	 621
 10.98558058799972	 623
 11.002142295999874	 623
 11.018862588000047	 623
 11.035654338000313	 627
 11.052233755000088	 631
 11.069793130000107	 633
 11.086193795999861	 637
 11.102475421000236	 635
 11.119155129999854	 635
 11.135843754999769	 639
 11.152167545999873	 641
 11.169414670999686	 647
 11.185826588000054	 647
